"","date","new_cases","new_deaths","total_cases","total_deaths","growth_factor","death_percentage","MA_growth_factor","MA_new_cases"
"1",2019-12-31,0,0,0,0,NA,NA,NA,NA
"2",2020-01-01,0,0,0,0,NA,NA,NA,NA
"3",2020-01-02,0,0,0,0,NA,NA,NA,NA
"4",2020-01-03,0,0,0,0,NA,NA,NA,NA
"5",2020-01-04,0,0,0,0,NA,NA,NA,NA
"6",2020-01-05,0,0,0,0,NA,NA,NA,NA
"7",2020-01-06,0,0,0,0,NA,NA,NA,NA
"8",2020-01-07,0,0,0,0,NA,NA,NA,NA
"9",2020-01-08,0,0,0,0,NA,NA,NA,NA
"10",2020-01-09,0,0,0,0,NA,NA,NA,NA
"11",2020-01-10,0,0,0,0,NA,NA,NA,NA
"12",2020-01-11,0,0,0,0,NA,NA,NA,NA
"13",2020-01-12,0,0,0,0,NA,NA,NA,NA
"14",2020-01-13,0,0,0,0,NA,NA,NA,0
"15",2020-01-14,0,0,0,0,NA,NA,NA,0
"16",2020-01-15,0,0,0,0,NA,NA,NA,0
"17",2020-01-16,0,0,0,0,NA,NA,NA,0
"18",2020-01-17,0,0,0,0,NA,NA,NA,0
"19",2020-01-18,0,0,0,0,NA,NA,NA,0
"20",2020-01-19,0,0,0,0,NA,NA,NA,0
"21",2020-01-20,0,0,0,0,NA,NA,NA,0
"22",2020-01-21,1,0,1,0,1,0,NA,0.0714285714285714
"23",2020-01-22,0,0,1,0,0,0,NA,0.0714285714285714
"24",2020-01-23,0,0,1,0,NA,0,NA,0.0714285714285714
"25",2020-01-24,0,0,1,0,NA,0,NA,0.0714285714285714
"26",2020-01-25,1,0,2,0,1,0,NA,0.142857142857143
"27",2020-01-26,0,0,2,0,0,0,NA,0.142857142857143
"28",2020-01-27,3,0,5,0,3,0,NA,0.357142857142857
"29",2020-01-28,0,0,5,0,0,0,NA,0.357142857142857
"30",2020-01-29,0,0,5,0,NA,0,NA,0.357142857142857
"31",2020-01-30,0,0,5,0,NA,0,NA,0.357142857142857
"32",2020-01-31,1,0,6,0,1,0,NA,0.428571428571429
"33",2020-02-01,1,0,7,0,1,0,NA,0.5
"34",2020-02-02,1,0,8,0,1,0,NA,0.571428571428571
